posx,posy,posz,turn,tick,
63.263294,1.2475,64.59127,138,1,
63.251167,1.2475,64.5845,139,1,
63.23904,1.2475,64.577736,140,1,
63.226913,1.2475,64.57097,141,1,
63.214787,1.2475,64.5642,142,1,
63.20266,1.2475,64.557434,143,1,
63.190533,1.2475,64.55067,144,1,
63.178406,1.2475,64.5439,145,1,
63.16628,1.2475,64.53713,146,1,
63.154152,1.2475,64.530365,147,1,
63.142025,1.2475,64.5236,148,1,
63.129898,1.2475,64.51683,149,1,
63.11777,1.2475,64.51006,150,1,
63.105644,1.2475,64.503296,151,1,
63.093517,1.2475,64.49653,152,1,
63.08139,1.2475,64.48976,153,1,
63.069263,1.2475,64.482994,154,1,
63.057137,1.2475,64.47623,155,1,
63.04501,1.2475,64.46946,156,1,
63.032883,1.2475,64.46269,157,1,
63.020756,1.2475,64.455925,158,1,
63.00863,1.2475,64.44916,159,1,
62.996502,1.2475,64.44239,160,1,
62.984375,1.2475,64.43562,161,1,
62.972248,1.2475,64.428856,162,1,
62.96012,1.2475,64.42209,163,1,
62.947994,1.2475,64.41532,164,1,
62.935867,1.2475,64.408554,165,1,
62.92374,1.2475,64.40179,166,1,
62.911613,1.2475,64.39502,167,1,
62.899487,1.2475,64.38825,168,1,
62.88736,1.2475,64.381485,169,1,
62.875233,1.2475,64.37472,170,1,
62.875233,1.2475,64.37472,171,1,
62.875233,1.2475,64.37472,172,1,
62.875233,1.2475,64.37472,173,1,
62.875233,1.2475,64.37472,174,1,
62.8396,1.2475,62.64181,175,1,
62.79848,1.2475,60.642303,176,1,
62.757362,1.2475,58.64279,177,1,
62.716244,1.2475,56.643253,178,1,
62.675125,1.2475,54.643707,179,1,
62.634007,1.2475,52.64416,180,1,
62.59296,1.2475,50.64462,181,1,
62.55184,1.2475,48.645073,182,1,
62.521057,1.2475,47.145412,183,1,
62.519917,1.2475,47.08987,184,1,
62.518776,1.2475,47.03433,185,1,
62.517635,1.2475,46.978786,186,1,
62.516495,1.2475,46.923244,187,1,
62.51541,1.2475,46.87048,188,1,
62.514614,1.2475,46.8316,189,1,
62.51404,1.2475,46.80383,190,1,
62.5137,1.2475,46.78717,191,1,
62.513412,1.2475,46.773285,192,1,
62.513126,1.2475,46.7594,193,1,
62.51284,1.2475,46.745514,194,1,
62.512554,1.2475,46.73163,195,1,
62.512268,1.2475,46.717743,196,1,
62.511982,1.2475,46.703857,197,1,
62.511696,1.2475,46.689972,198,1,
62.51141,1.2475,46.676086,199,1,
62.511124,1.2475,46.6622,200,1,
62.510838,1.2475,46.648315,201,1,
62.51055,1.2475,46.63443,202,1,
62.510265,1.2475,46.620544,203,1,
62.50998,1.2475,46.60666,204,1,
62.509693,1.2475,46.592773,205,1,
62.509693,1.2475,46.592773,206,1,
62.195545,1.2475,46.22988,207,1,
61.48601,1.4889553,45.32592,208,1,
60.706715,2.1368496,44.206055,209,1,
59.997696,3.043227,43.09818,210,1,
59.757294,3.4224179,42.707283,211,1,
59.58404,3.7239454,42.42221,212,1,
59.473705,3.9390533,42.238308,213,1,
59.397755,4.1143174,42.110195,214,1,
59.313103,4.346641,41.96794,215,1,
59.268658,4.468639,41.893238,216,1,
59.245323,4.532702,41.854015,217,1,
59.232613,4.567583,41.832657,218,1,
59.226395,4.5846596,41.8222,219,1,
59.223133,4.593627,41.81671,220,1,
59.221474,4.5981565,41.813942,221,1,
59.220577,4.600617,41.812435,222,1,
59.220245,4.6015277,41.811874,223,1,
59.258335,4.59111,42.002125,224,1,
59.298687,4.579359,42.20556,225,1,
59.33145,4.5697355,42.37089,226,1,
59.358013,4.5618234,42.50466,227,1,
59.37837,4.555617,42.606567,228,1,
59.397995,4.54944,42.704025,229,1,
59.41314,4.544525,42.77852,230,1,
59.43404,4.5377426,42.88132,231,1,
59.444645,4.5342994,42.933506,232,1,
59.449833,4.532614,42.959057,233,1,
59.452454,4.5317626,42.971962,234,1,
59.453876,4.5313,42.978973,235,1,
59.454403,4.531129,42.981567,236,1,
59.115875,4.5306463,42.659657,237,1,
58.260616,4.529966,41.85434,238,1,
57.141216,4.5291452,40.812943,239,1,
55.89983,4.528158,39.65993,240,1,
54.64597,4.5269046,38.48047,241,1,
54.17696,4.5263705,38.035076,242,1,
53.692806,4.5258045,37.564564,243,1,
53.434174,4.5254908,37.303684,244,1,
53.23246,4.525238,37.09933,245,1,
53.10805,4.525058,36.970535,246,1,
52.39076,4.5245967,36.723858,247,1,
51.02123,4.5241146,36.579052,248,1,
49.40789,4.523643,36.477444,249,1,
47.65931,4.523159,36.385857,250,1,
45.81612,4.5226502,36.295906,251,1,
43.926315,4.522118,36.20821,252,1,
41.9899,4.521551,36.12411,253,1,
40.066883,4.5209584,36.04828,254,1,
38.12827,4.5203247,35.9812,255,1,
36.217545,4.519656,35.926006,256,1,
34.36603,4.5189614,35.882694,257,1,
32.45358,4.5181913,35.848087,258,1,
30.54746,4.5173573,35.82635,259,1,
28.64615,4.5164413,35.819965,260,1,
26.772873,4.515434,35.83128,261,1,
24.857813,4.5142636,35.86451,262,1,
22.96167,4.5128975,35.926945,263,1,
21.08122,4.5112157,36.02997,264,1,
19.244162,4.5089626,36.194477,265,1,
18.640919,4.5080795,36.26224,266,1,
18.18897,4.5073357,36.318165,267,1,
17.855059,4.5066895,36.364647,268,1,
17.613901,4.504512,36.398598,269,1,
17.413023,4.4943414,36.428177,270,1,
17.249903,4.475615,36.45098,271,1,
17.127487,4.451244,36.46315,272,1,
17.03255,4.4242682,36.464687,273,1,
16.956095,4.3972564,36.45682,274,1,
16.892117,4.3716044,36.441338,275,1,
16.83665,4.3475904,36.420105,276,1,
16.787085,4.3246703,36.394817,277,1,
16.750942,4.306317,36.37243,278,1,
16.71189,4.2840614,36.345413,279,1,
16.674532,4.2593513,36.31749,280,1,
16.636648,4.229203,36.287544,281,1,
16.605473,4.197618,36.261627,282,1,
16.578444,4.160025,36.237732,283,1,
16.542412,4.0902576,36.203316,284,1,
16.522797,4.0522714,36.184578,285,1,
16.513557,4.0343833,36.175755,286,1,
16.50854,4.0246663,36.17096,287,1,
16.505812,4.0193872,36.168358,288,1,
16.504333,4.01652,36.166943,289,1,
16.503494,4.0149,36.16614,290,1,
16.503075,4.0140824,36.165737,291,1,
16.502834,4.0136204,36.165512,292,1,
16.506966,4.013443,36.167557,293,1,
16.529762,4.0130663,36.17899,294,1,
16.565495,4.0124793,36.196938,295,1,
16.613203,4.011699,36.220932,296,1,
16.665552,4.0108466,36.247288,297,1,
